Time[mSeconds],Pressure[PSI],Temperature[DegC]
550,0,19.5
768,0,19.5
968,0,19.5
1170,0,19.5
1371,0,19.5
1572,0,19.5
1773,0,19.5
1975,0,19.5
2176,0,19.5
2377,0,19.25
2578,0,19.25
2780,0,19.5
2981,0,19.5
3182,0,19.25
3384,0,19.25
3585,0,19.5
3786,0,19.5
3987,0,19.5
4189,0,19.25
4389,0,19.5
4591,0,19.25
4792,0,19.5
4994,0,19.5
5195,0,19.25
5396,0,19.5
5598,0,19.25
5798,0,19.25
6000,0,19.5
6201,0,19.5
6403,0,19.5
6603,0,19.5
6805,0,19.5
7007,0,19.25
7207,0,19.5
7409,0,19.25
7610,0,19.25
7812,0,19.5
8012,0,19.5
8214,0,19.5
8415,0,19.5
8616,0,19.5
8817,0,19.25
9019,0,19.5
9221,0,19.25
9421,0,19.25
9623,0,19.5
9824,0,19.5
10025,0,19.25
10226,0,19.25
10428,0,19.25
10630,0,19.5
10830,0,19.25
11032,0,19.5
11233,0,19.25
11435,0,19.5
11636,0,19.5
11837,0,19.5
12039,0,19.5
12239,0,19.5
12441,0,19.5
12643,0,19.5
12844,0,19.5
13045,0,19.5
13246,0,19.5
13448,0,19.5
13648,0,19.5
13850,0,19.5
14052,0,19.5
14253,0,19.5
14454,0,19.5
14655,0,19.5
14857,0,19.5
15058,0,19.5
15259,0,19.5
15461,0,19.5
15662,0,19.5
15863,0,19.5
16065,0,19.5
16266,0,19.5
16467,0,19.5
16668,0,19.5
16870,0,19.5
17071,0,19.5
17272,0,19.5
17474,0,19.5
17675,0,19.5
17876,0,19.5
18077,0,19.5
18279,0,19.5
18481,0,19.5
18681,0,19.5
18883,0,19.5
19084,0,19.5
19286,0,19.5
19487,0,19.5
19688,0,19.5
19890,0,19.5
20090,0,19.5
20292,0,19.5
20494,0,19.5
20695,0,19.5
20896,0,19.5
21097,0,19.5
21299,0,19.5
21499,0,19.5
21701,0,19.5
21903,0,19.5
22104,0,19.5
22305,0,19.5
22506,0,19.25
22708,0,19.25
22909,0,19.5
23110,0,19.5
23312,0,19.25
23513,0,19.5
23714,0,19.5
23916,0,19.5
24117,0,19.25
24318,0,19.5
24519,0,19.5
24721,0,19.5
24923,0,19.25
25123,0,19.25
25325,0,19.5
25526,0,19.5
25728,0,19.5
25929,0,19.25
26130,0,19.5
26332,0,19.25
26532,0,19.25
26734,0,19.5
26935,0,19.25
27137,0,19.5
27338,0,19.25
27539,0,19.5
27741,0,19.25
27941,0,19.25
28143,0,19.5
28345,0,19.25
28546,0,19.25
28747,0,19.25
28948,0,19.5
29150,0,19.5
29351,0,19.25
29552,0,19.25
29754,0,19.25
29955,0,19.5
30156,0,19.5
30358,0,19.25
30559,0,19.25
30760,0,19.5
30961,0,19.5
31163,0,19.25
31365,0,19.25
31565,0,19.5
31767,0,19.5
31968,0,19.25
32169,0,19.25
32371,0,19.5
32572,0,19.5
32774,0,19.5
